strategy,symbol,days,profit,profit_percentage,max_dd_percentage,min_price,max_price
strategy_dual_ma,BTC/USDT,499,256.5410576830538,25.654105768305378,-20.967225074659474,50744.14,111696.21
strategy_dual_ma,BTC/USDT,499,256.5410576830538,25.654105768305378,-20.967225074659474,50744.14,111696.21
strategy_dual_ma,DOGE/USDT,499,1809.5927983761455,180.95927983761456,0.0,0.0841,0.46637
strategy_dual_ma,DOGE/USDT,499,1809.5927983761455,180.95927983761456,0.0,0.0841,0.46637
strategy_dual_ma,ETH/USDT,499,-14.701535693632257,-1.4701535693632257,-1.470153569363231,1473.41,4064.8
strategy_dual_ma,ETH/USDT,499,-14.701535693632257,-1.4701535693632257,-1.470153569363231,1473.41,4064.8
strategy_dual_ma,SOL/USDT,499,18.52779091726103,1.852779091726103,-27.53862558090153,99.89,261.99
strategy_dual_ma,SOL/USDT,499,18.52779091726103,1.852779091726103,-27.53862558090153,99.89,261.99
strategy_dual_ma,SUI/USDT,499,1559.0960334224783,155.90960334224783,-65.36403403261315,0.5348,5.2908
strategy_dual_ma,SUI/USDT,499,1559.0960334224783,155.90960334224783,-65.36403403261315,0.5348,5.2908
strategy_dual_ma,WBTC/USDT,499,207.45118468882973,20.74511846888297,-20.17706382387197,50541.4,111476.07
strategy_dual_ma,WBTC/USDT,499,207.45118468882973,20.74511846888297,-20.17706382387197,50541.4,111476.07
strategy_dual_ma,WBTC/USDT,499,207.45118468882973,20.74511846888297,-20.17706382387197,50541.4,111476.07
strategy_dual_ma,WBTC/USDT,0,-4.235736313639604,-0.4235736313639604,-0.4247529354160633,107681.84,108257.0
strategy_dual_ma,WBTC/USDT,0,-2.076175524063277,-0.20761755240632768,-0.309903330500515,107807.63,108164.62
